"N","lambda_bar","cv","D","beta1","cap","compliance","decay","phi","trigger_link","grid","power","mcse_power","power_all","type_s","type_m","bias","rel_bias","emp_se","rmse","coverage","ci_width","conv_rate","R_converged","R_total","mean_n","sd_n","below_k","master_seed","R_requested"
20,1,0.3,7,0.1,Inf,0.75,0,0.3,0,"subceiling",0.106773823191734,0.0104641520184795,0.0465,0.0210526315789474,3.61779396365981,0.00630659275234874,0.0630659275234874,0.158753560197971,0.158787690436637,0.941446613088404,0.635527622018921,0.4355,871,2000,5.2727,2.74800064322325,0.923175,20260722,2000
40,1,0.3,7,0.1,Inf,0.75,0,0.3,0,"subceiling",0.156677181913775,0.0117871698851997,0.0745,0.0197368421052632,2.65068824719863,0.00108742994310318,0.0108742994310318,0.109655060289822,0.109602787253377,0.953732912723449,0.436739857931151,0.4755,951,2000,5.26105,2.75030378531158,0.923825,20260722,2000
60,1,0.3,7,0.1,Inf,0.75,0,0.3,0,"subceiling",0.23587710604559,0.013365306362433,0.119,0.00418410041841004,2.27520556756786,0.00333789182623842,0.0333789182623842,0.096121952975116,0.0961322752716308,0.925668979187314,0.348250505821158,0.5045,1009,2000,5.2522,2.76847604175898,0.9228,20260722,2000
90,1,0.3,7,0.1,Inf,0.75,0,0.3,0,"subceiling",0.306122448979592,0.0143675037989674,0.1575,0,1.86680526051564,0.005608662645782,0.05608662645782,0.0712992027588601,0.071484915215196,0.957240038872692,0.285266241612152,0.5145,1029,2000,5.24853888888889,2.77646208657161,0.923494444444445,20260722,2000
20,2,0.3,7,0.1,Inf,0.75,0,0.3,0,"subceiling",0.154335260115607,0.00868577628054938,0.1335,0.0183823529411765,2.64719990928945,0.000440420143420411,0.00440420143420411,0.112596812885792,0.11256512734327,0.93757225433526,0.431438838915061,0.865,1730,2000,10.482575,4.43644085086436,0.453275,20260722,2000
40,2,0.3,7,0.1,Inf,0.75,0,0.3,0,"subceiling",0.268916155419223,0.0100255363307254,0.263,0,1.933165852828,-0.00010157223810385,-0.0010157223810385,0.077850732559329,0.0778308957989697,0.940184049079755,0.2982912616212,0.978,1956,2000,10.504225,4.4992001602902,0.454725,20260722,2000
60,2,0.3,7,0.1,Inf,0.75,0,0.3,0,"subceiling",0.378582202111614,0.0108756331243368,0.3765,0,1.62585868449877,0.00121861065473769,0.0121861065473769,0.0624857124991927,0.0624818873728058,0.943187531422826,0.243808437203555,0.9945,1989,2000,10.4868,4.51727583910839,0.454216666666667,20260722,2000
90,2,0.3,7,0.1,Inf,0.75,0,0.3,0,"subceiling",0.505,0.0111797808565284,0.505,0,1.39485189389208,9.37697281098437e-05,0.000937697281098437,0.0505192113909374,0.0505066670546013,0.9485,0.199383971393776,1,2000,2000,10.5055,4.50134230516273,0.451183333333333,20260722,2000
20,1,0.6,7,0.1,Inf,0.75,0,0.3,0,"subceiling",0.0966183574879227,0.00918322617493221,0.05,0.0384615384615385,3.85215974719237,0.00631638342367959,0.0631638342367959,0.166215033473957,0.166254746928073,0.935265700483092,0.653441705075617,0.5175,1035,2000,5.262,3.81170536537866,0.865,20260722,2000
40,1,0.6,7,0.1,Inf,0.75,0,0.3,0,"subceiling",0.168469860896445,0.010404781583661,0.109,0.00909090909090909,2.67128881724316,0.00679862136793699,0.0679862136793699,0.112208239788,0.112370726950767,0.942040185471406,0.438728313506282,0.647,1294,2000,5.238025,3.84568117812702,0.8667625,20260722,2000
60,1,0.6,7,0.1,Inf,0.75,0,0.3,0,"subceiling",0.224546722454672,0.0110193658579707,0.161,0,2.17693957862934,0.00442115811064814,0.0442115811064814,0.0865454261795688,0.0866281374748355,0.958856345885635,0.351652791011557,0.717,1434,2000,5.25786666666667,3.86805827548365,0.86605,20260722,2000
90,1,0.6,7,0.1,Inf,0.75,0,0.3,0,"subceiling",0.299167200512492,0.0115894478792593,0.2335,0.00213675213675214,1.87245431974788,0.00300631749780128,0.0300631749780128,0.0744557340490576,0.0744925696182728,0.942985265855221,0.288707893127787,0.7805,1561,2000,5.24662222222222,3.88860626981087,0.866455555555556,20260722,2000
20,2,0.6,7,0.1,Inf,0.75,0,0.3,0,"subceiling",0.14614024749558,0.00857506201738221,0.124,0.03125,2.65456057968778,-0.00625327067053361,-0.0625327067053361,0.114433383414135,0.114570441543623,0.939304655274013,0.450306692930235,0.8485,1697,2000,10.472425,6.89595017006893,0.522525,20260722,2000
40,2,0.6,7,0.1,Inf,0.75,0,0.3,0,"subceiling",0.25462962962963,0.00988080665723649,0.2475,0.00402414486921529,1.99696136776055,0.00126152913489143,0.0126152913489143,0.0804541168843174,0.080443313683407,0.940329218106996,0.309434971091937,0.972,1944,2000,10.501075,7.01097831298368,0.52335,20260722,2000
60,2,0.6,7,0.1,Inf,0.75,0,0.3,0,"subceiling",0.357825868142929,0.0107538342135372,0.3555,0.00280504908835905,1.7009738544626,0.000398439147007545,0.00398439147007545,0.0678293261237793,0.0678134262291303,0.937091092098641,0.253653750770901,0.9935,1987,2000,10.4943583333333,7.03618696997826,0.524216666666667,20260722,2000
90,2,0.6,7,0.1,Inf,0.75,0,0.3,0,"subceiling",0.487487487487487,0.0111824310988529,0.487,0,1.4531484137507,0.00178479011202619,0.0178479011202619,0.0541956997100575,0.0542115235518814,0.942942942942943,0.207204854224955,0.999,1998,2000,10.4880666666667,7.03147200428128,0.52445,20260722,2000
20,1,0.9,7,0.1,Inf,0.75,0,0.3,0,"subceiling",0.0830324909747292,0.00828955327610501,0.046,0.0891089108910891,3.72805118586116,-0.00678733459161726,-0.0678733459161726,0.168980663644774,0.169040709354796,0.9485559566787,0.666514557954291,0.554,1108,2000,5.2051,5.02485751817632,0.832675,20260722,2000
40,1,0.9,7,0.1,Inf,0.75,0,0.3,0,"subceiling",0.152116402116402,0.00923592173061232,0.115,0.0170940170940171,2.65081589092019,-0.000549549117187617,-0.00549549117187617,0.112005273718987,0.111969577419454,0.948412698412698,0.441683503068471,0.756,1512,2000,5.29905,5.20683231460934,0.8269,20260722,2000
60,1,0.9,7,0.1,Inf,0.75,0,0.3,0,"subceiling",0.220338983050847,0.0100201350649885,0.1885,0.00527704485488127,2.23589576586295,0.0033510162569978,0.033510162569978,0.0929924314242385,0.0930256281690586,0.946814728229106,0.357642751337555,0.8555,1711,2000,5.24244166666667,5.17828662688322,0.831683333333333,20260722,2000
90,1,0.9,7,0.1,Inf,0.75,0,0.3,0,"subceiling",0.272678762006403,0.0102873614255463,0.2555,0,1.91983682386601,0.00172425784372407,0.0172425784372407,0.0747884184070078,0.074788340693927,0.944503735325507,0.291705471949386,0.937,1874,2000,5.25273333333333,5.22457497368656,0.830777777777778,20260722,2000
20,2,0.9,7,0.1,Inf,0.75,0,0.3,0,"subceiling",0.138221153846154,0.00846074314494055,0.115,0.045643153526971,2.81692240980393,-0.00299083945071509,-0.0299083945071509,0.122798105015034,0.122797628607997,0.927884615384615,0.469466208889249,0.832,1664,2000,10.51655,9.66985011228453,0.581325,20260722,2000
40,2,0.9,7,0.1,Inf,0.75,0,0.3,0,"subceiling",0.233230134158927,0.00960611901541168,0.226,0.0022075055187638,2.02196674584969,0.000993531862786376,0.00993531862786376,0.0810105611004385,0.0809957516390819,0.949948400412797,0.324423215814311,0.969,1938,2000,10.4677875,9.7536177466929,0.582025,20260722,2000
60,2,0.9,7,0.1,Inf,0.75,0,0.3,0,"subceiling",0.330815709969789,0.0105578699713441,0.3285,0,1.75569963145162,0.00082189222520318,0.0082189222520318,0.0700085895030423,0.0699957872632216,0.926485397784491,0.265574213505931,0.993,1986,2000,10.5010416666667,9.873955922641,0.581366666666667,20260722,2000
90,2,0.9,7,0.1,Inf,0.75,0,0.3,0,"subceiling",0.439,0.0110968238699188,0.439,0.00113765642775882,1.46959155227418,-0.00164776229510334,-0.0164776229510334,0.0553243924201049,0.0553350984731806,0.948,0.21657735370711,1,2000,2000,10.5142611111111,9.91263598499237,0.580266666666667,20260722,2000
20,1,0.3,14,0.1,Inf,0.75,0,0.3,0,"subceiling",0.151549942594719,0.00859145964398099,0.132,0.0185873605947955,2.55090655263643,-0.000880340242293859,-0.00880340242293859,0.107054099435783,0.107026988309699,0.951779563719862,0.432753680900133,0.871,1742,2000,10.516975,4.4678655449351,0.451825,20260722,2000
40,1,0.3,14,0.1,Inf,0.75,0,0.3,0,"subceiling",0.265232974910394,0.00998935541837622,0.259,0.00192678227360308,1.94266733815395,-0.00130391948193355,-0.0130391948193355,0.0785496764408185,0.0785403883764586,0.938044034818228,0.298897035884456,0.9765,1953,2000,10.4859,4.46771250165925,0.452375,20260722,2000
60,1,0.3,14,0.1,Inf,0.75,0,0.3,0,"subceiling",0.393145161290323,0.0109659949886406,0.39,0.00383141762452107,1.6547140585381,0.00162631737571155,0.0162631737571155,0.0662538383988314,0.0662571016974804,0.932459677419355,0.243091778010123,0.992,1984,2000,10.4853916666667,4.48301048682151,0.455866666666667,20260722,2000
90,1,0.3,14,0.1,Inf,0.75,0,0.3,0,"subceiling",0.511266900350526,0.0111858935628964,0.5105,0,1.39124510326061,0.000933957691597223,0.00933957691597223,0.0509671576610058,0.050962953802408,0.941412118177266,0.199177531516531,0.9985,1997,2000,10.4872944444444,4.48666336716171,0.453133333333333,20260722,2000
20,2,0.3,14,0.1,Inf,0.75,0,0.3,0,"subceiling",0.226510919248349,0.0094329776797877,0.223,0.0132743362831858,2.09982409850977,0.000258013881568625,0.00258013881568625,0.0883313718608509,0.0883093154174005,0.929913661757237,0.338996749943164,0.9845,1969,2000,21.05405,7.65883973940238,0.044675,20260722,2000
40,2,0.3,14,0.1,Inf,0.75,0,0.3,0,"subceiling",0.396698349174587,0.0109418575475862,0.3965,0,1.61142191919716,0.00169103703330777,0.0169103703330777,0.0625993309368264,0.0626065134128257,0.936468234117058,0.240398431840413,0.9995,1999,2000,21.0246,7.71597877444045,0.0469125,20260722,2000
60,2,0.3,14,0.1,Inf,0.75,0,0.3,0,"subceiling",0.5185,0.0111726843238319,0.5185,0,1.37552851225427,7.12877101307907e-05,0.000712877101307907,0.0495059694649615,0.0494936427644701,0.9515,0.196465235482505,1,2000,2000,20.9530333333333,7.74503514144864,0.047425,20260722,2000
90,2,0.3,14,0.1,Inf,0.75,0,0.3,0,"subceiling",0.674,0.0104815075251607,0.674,0,1.21016253776209,-0.000457476988656252,-0.00457476988656252,0.0404623094643942,0.04045477936096,0.9535,0.160659356299856,1,2000,2000,20.9975111111111,7.76687312606619,0.0472,20260722,2000
20,1,0.6,14,0.1,Inf,0.75,0,0.3,0,"subceiling",0.162303664921466,0.00889343494668822,0.1395,0.0176056338028169,2.72483880333515,0.0012556263904715,0.012556263904715,0.116746964314207,0.116719755529351,0.936009307737056,0.446839055835423,0.8595,1719,2000,10.496225,6.89626096042296,0.524375,20260722,2000
40,1,0.6,14,0.1,Inf,0.75,0,0.3,0,"subceiling",0.261048304213772,0.00995627870507229,0.254,0.00392156862745098,1.99413618799527,0.0006325242618367,0.006325242618367,0.0806473616889801,0.0806291187810603,0.936793422404933,0.309357633052563,0.973,1946,2000,10.5422625,7.01231140351652,0.5197375,20260722,2000
60,1,0.6,14,0.1,Inf,0.75,0,0.3,0,"subceiling",0.364871665827881,0.0107994560177236,0.3625,0,1.68019536860244,0.00136942982213986,0.0136942982213986,0.0665333572688304,0.0665307082693734,0.9305485656769,0.252825323482402,0.9935,1987,2000,10.5131916666667,7.04158282257879,0.523425,20260722,2000
90,1,0.6,14,0.1,Inf,0.75,0,0.3,0,"subceiling",0.475237618809405,0.0111694131508308,0.475,0,1.42609936047009,-0.000619035530621995,-0.00619035530621995,0.0526576060469916,0.0526480728450567,0.948474237118559,0.206714800483337,0.9995,1999,2000,10.4807222222222,7.03641121449313,0.524705555555556,20260722,2000
20,2,0.6,14,0.1,Inf,0.75,0,0.3,0,"subceiling",0.232152028762198,0.00956843445967725,0.226,0.00659340659340659,2.18620948057011,0.0027265625591435,0.027265625591435,0.0928479774675906,0.0928641661541027,0.928608115048793,0.352113660780694,0.9735,1947,2000,21.13645,13.1448322822727,0.19035,20260722,2000
40,2,0.6,14,0.1,Inf,0.75,0,0.3,0,"subceiling",0.348348348348348,0.0106590104033368,0.348,0.00143472022955524,1.67544377315759,7.65492642334359e-05,0.000765492642334359,0.0657153816667968,0.0656989789136156,0.934934934934935,0.248577500796185,0.999,1998,2000,20.9546125,13.1981158959353,0.194125,20260722,2000
60,2,0.6,14,0.1,Inf,0.75,0,0.3,0,"subceiling",0.495,0.0111797808565284,0.495,0,1.42163633918736,0.000709641118700144,0.00709641118700144,0.0531778379402559,0.0531692777578694,0.9375,0.204263909941533,1,2000,2000,21.030375,13.3279664269202,0.194391666666667,20260722,2000
90,2,0.6,14,0.1,Inf,0.75,0,0.3,0,"subceiling",0.6555,0.0106259058437387,0.6555,0,1.25100147978744,0.001723436295696,0.01723436295696,0.0423709489256547,0.0423953994776477,0.9495,0.167029714801819,1,2000,2000,20.9934555555556,13.2930173847104,0.192638888888889,20260722,2000
20,1,0.9,14,0.1,Inf,0.75,0,0.3,0,"subceiling",0.159186116098145,0.00894982009854774,0.133,0.0148148148148148,2.81477090409376,0.00282072967800642,0.0282072967800642,0.122541259052248,0.122537056577583,0.931178934769599,0.47512149872437,0.8355,1671,2000,10.49935,9.64481289840441,0.58055,20260722,2000
40,1,0.9,14,0.1,Inf,0.75,0,0.3,0,"subceiling",0.233281493001555,0.00962923980459363,0.225,0.00442477876106195,2.09421872491015,0.000283078990748475,0.00283078990748475,0.0853900323495172,0.0853683655843458,0.93675479523069,0.326271272553658,0.9645,1929,2000,10.5085625,9.8417838946376,0.581775,20260722,2000
60,1,0.9,14,0.1,Inf,0.75,0,0.3,0,"subceiling",0.339195979899498,0.0106129262968642,0.3375,0,1.74046469861594,0.00136534759360168,0.0136534759360168,0.0688719750985931,0.0688682040973438,0.941708542713568,0.263641746975977,0.995,1990,2000,10.4696833333333,9.84217872967316,0.58225,20260722,2000
90,1,0.9,14,0.1,Inf,0.75,0,0.3,0,"subceiling",0.462694041061592,0.0111575476255927,0.462,0.00108108108108108,1.51699177410102,0.00278141677232188,0.0278141677232188,0.0580455943393121,0.0580976774509087,0.927391086629945,0.216121521739469,0.9985,1997,2000,10.5381388888889,9.90409976203604,0.577838888888889,20260722,2000
20,2,0.9,14,0.1,Inf,0.75,0,0.3,0,"subceiling",0.210307131702238,0.00929806174093103,0.202,0.0241545893719807,2.26971507806732,-0.00116501601465707,-0.0116501601465707,0.0988413714554144,0.0988225089757547,0.916710046850599,0.369631933213281,0.9605,1921,2000,21.095375,18.7503984168301,0.33225,20260722,2000
40,2,0.9,14,0.1,Inf,0.75,0,0.3,0,"subceiling",0.303455182774161,0.0102880432133896,0.303,0.00328947368421053,1.72670715735489,-0.00382215507196813,-0.0382215507196813,0.0682661906632542,0.0683560386521691,0.944416624937406,0.263789546000052,0.9985,1997,2000,20.9923125,19.0403832154163,0.333775,20260722,2000
60,2,0.9,14,0.1,Inf,0.75,0,0.3,0,"subceiling",0.452952952952953,0.0111363057154096,0.4525,0,1.47765897039177,0.00123599633459021,0.0123599633459021,0.0548841962730579,0.0548843788553104,0.948948948948949,0.216839141880557,0.999,1998,2000,21.083425,19.2620916192981,0.333375,20260722,2000
